Name	NumReads
GQ67_00723	415
GQ67_00724	277.331
GQ67_00725	284.669
GQ67_00726	29
GQ67_00727	206.337
GQ67_00728	11.663
GQ67_00729	24
GQ67_00730	180
GQ67_00731	71
GQ67_00732	51
GQ67_00733	13
GQ67_00734	236
GQ67_00735	5
GQ67_00736	8
GQ67_00737	13
GQ67_00738	79
GQ67_00739	14
GQ67_00740	18
GQ67_00741	26
GQ67_00742	43.19
GQ67_00743	11.81
GQ67_00744	109
GQ67_00745	23
GQ67_00746	30.345
GQ67_00747	28.655
GQ67_00748	17
GQ67_00749	216
GQ67_00750	36
GQ67_00751	14
GQ67_00752	95
GQ67_00753	162
GQ67_00754	17
GQ67_00755	9
GQ67_00756	7
GQ67_00757	8
GQ67_00758	13
GQ67_00759	37
GQ67_00760	10
GQ67_00761	60
GQ67_00762	8
GQ67_00763	5
GQ67_00764	3
GQ67_00765	107
GQ67_00766	56
GQ67_00767	11
GQ67_00768	2081
GQ67_00769	146
GQ67_00770	64
GQ67_00771	2
GQ67_00772	71
GQ67_00773	47
GQ67_00774	30.367
GQ67_00775	7.633
GQ67_00776	19
GQ67_00777	4
GQ67_00778	46
GQ67_00779	17
GQ67_00780	12
GQ67_00781	170
GQ67_00782	280
GQ67_00783	5
GQ67_00784	180
GQ67_00785	41
GQ67_00786	11
GQ67_00787	290
GQ67_00788	185
GQ67_00789	12
GQ67_00790	20
GQ67_00791	5
GQ67_00792	20.017
GQ67_00793	8.983
GQ67_00794	448
GQ67_00795	26
GQ67_00796	34.45
GQ67_00797	118.55
GQ67_00798	79
GQ67_00799	13
GQ67_00800	27
GQ67_00801	22
GQ67_00802	51
GQ67_00803	311
GQ67_00804	123
GQ67_00805	33
GQ67_00806	61
GQ67_00807	26
GQ67_00808	109
GQ67_00809	82
GQ67_00810	44.849
GQ67_00811	20.151
GQ67_00812	85
GQ67_00813	36
GQ67_00814	8
GQ67_00815	1131.112
GQ67_00816	266.888
GQ67_00817	4
GQ67_00818	62
GQ67_00819	30
GQ67_00820	6
GQ67_00821	2
GQ67_00822	3
GQ67_00823	55
GQ67_00824	295
GQ67_00825	58
GQ67_00827	38
GQ67_00828	161
GQ67_00829	31
GQ67_00830	99
GQ67_00831	118
GQ67_00832	90
GQ67_00833	12
GQ67_00834	174
GQ67_00835	80.674
GQ67_00836	18.326
GQ67_00837	625
GQ67_00838	65.318
GQ67_00839	1885.682
GQ67_00840	143
GQ67_00841	8682
GQ67_00842	96
GQ67_00843	30
GQ67_00844	18
GQ67_00845	34
GQ67_00846	156.097
GQ67_00847	34.903
GQ67_00848	87.008
GQ67_00849	31.992
GQ67_00850	55.062
GQ67_00851	56.938
GQ67_00852	377
GQ67_00853	102.954
GQ67_00854	31.046
GQ67_00855	263
GQ67_00856	35
GQ67_00857	716
GQ67_00858	49
GQ67_00859	313
GQ67_00860	82
GQ67_00861	547
GQ67_00862	21
GQ67_00863	33
GQ67_00864	3
GQ67_00865	10
GQ67_00866	21
GQ67_00867	44
GQ67_00868	49.547
GQ67_00869	25.453
GQ67_00870	193
GQ67_00871	119
GQ67_00872	14
GQ67_00873	28
GQ67_00874	40
GQ67_00875	15
GQ67_00876	116
GQ67_00877	54
GQ67_00878	11
GQ67_00879	67.07
GQ67_00880	335.93
GQ67_00881	56.773
GQ67_00882	44.227
GQ67_00883	42
GQ67_00884	57
GQ67_00885	11
GQ67_00886	28.373
GQ67_00887	29.627
GQ67_00888	167.775
GQ67_00889	25.225
GQ67_00890	35
GQ67_00891	19.751
GQ67_00892	26.03
GQ67_00893	25.218
GQ67_00894	148
GQ67_00895	1014
GQ67_00896	113
GQ67_00897	23
GQ67_00898	20
GQ67_00899	1
GQ67_00900	71
GQ67_00901	25
GQ67_00902	53
GQ67_00903	62
GQ67_00904	105
GQ67_00905	197
GQ67_00906	98
GQ67_00907	410
GQ67_00909	208
GQ67_00910	18.664
GQ67_00911	34.336
GQ67_00912	66
GQ67_00913	84
GQ67_00914	173.311
GQ67_00915	9.689
GQ67_00916	9
GQ67_00917	23.153
GQ67_00918	36.847
GQ67_00919	676
GQ67_00920	65
GQ67_00921	187
GQ67_00922	1376.999
GQ67_00923	15.001
GQ67_00924	0
GQ67_00925	109
GQ67_00926	6
GQ67_00927	12
GQ67_00928	273
GQ67_00929	177
GQ67_00930	94
GQ67_00932	10
GQ67_00933	22
GQ67_00934	75
GQ67_00935	371
GQ67_00936	37
GQ67_00937	2877
GQ67_00938	75
GQ67_00939	5
GQ67_00940	53
GQ67_00941	38.373
GQ67_00942	128.627
GQ67_00943	29
GQ67_00944	239
GQ67_00945	123
GQ67_00946	86
GQ67_00947	44
GQ67_00948	129.468
GQ67_00949	159.532
GQ67_00950	37
GQ67_00951	127
GQ67_00952	17
GQ67_00953	14
GQ67_00954	80
GQ67_00955	205
GQ67_00956	15
GQ67_00957	12
GQ67_00958	26
GQ67_00959	273
GQ67_00960	19
GQ67_00961	14
GQ67_00962	17.83
GQ67_00963	26.17
GQ67_00964	8
GQ67_00965	21
GQ67_00966	47
GQ67_00967	9
GQ67_00968	36
GQ67_00969	129
GQ67_00970	74
GQ67_00971	6
GQ67_00972	13
GQ67_00973	24
GQ67_00974	15
GQ67_00975	72.912
GQ67_00976	14.088
GQ67_00977	18
GQ67_00978	148
GQ67_00979	150
GQ67_00980	28
GQ67_00982	88
GQ67_00983	10
GQ67_00984	20
GQ67_00985	116
GQ67_00986	443
GQ67_00987	549.79
GQ67_00988	12.21
GQ67_00989	22
GQ67_00990	1626.582
GQ67_00991	838.418
GQ67_00992	0
GQ67_00993	388
GQ67_00994	471
GQ67_00995	38
GQ67_00996	54
GQ67_00997	99
GQ67_00998	1533
GQ67_00999	362
GQ67_01000	106
GQ67_01001	454
GQ67_01002	23
GQ67_01003	38
GQ67_01004	355
GQ67_01005	62
GQ67_01006	1
GQ67_01007	179.5
GQ67_01008	53.5
GQ67_01009	25
GQ67_01010	14
GQ67_01011	35
GQ67_01012	20
GQ67_01013	37
GQ67_01014	103
GQ67_01015	7
GQ67_01016	119
GQ67_01017	22
GQ67_01018	11
GQ67_01019	6
GQ67_01020	31
GQ67_01021	10
GQ67_01022	1753
GQ67_01023	218
GQ67_01024	22
GQ67_01025	118
GQ67_01026	31
GQ67_01027	178
GQ67_01028	29
GQ67_01029	106
GQ67_01030	21
GQ67_01031	32
GQ67_01032	23
GQ67_01033	33
GQ67_01034	1460
GQ67_01035	115
GQ67_01036	19
GQ67_01037	51
GQ67_01038	50
GQ67_01039	314
GQ67_01040	226
GQ67_01041	498
GQ67_01042	47
GQ67_01043	93
GQ67_01044	6
GQ67_01045	13
GQ67_01046	68
GQ67_01047	12
GQ67_01048	35
GQ67_01049	105
GQ67_01050	12
GQ67_01052	21
GQ67_01053	77
GQ67_01054	43.163
GQ67_01055	20.837
GQ67_01056	243
GQ67_01057	117
GQ67_01058	114
GQ67_01059	83
GQ67_01060	10
GQ67_01061	8
GQ67_01062	7
GQ67_01063	118
GQ67_01064	14
GQ67_01065	12
GQ67_01066	457
GQ67_01067	19
GQ67_01068	23
GQ67_01069	31
GQ67_01070	78
GQ67_01071	7
GQ67_01072	16
GQ67_01073	703
GQ67_01074	125
GQ67_01075	8
GQ67_01076	18
GQ67_01077	13
GQ67_01078	1
GQ67_01080	50
GQ67_01081	6
GQ67_01082	12
GQ67_01083	15
GQ67_01084	19
GQ67_01085	77
GQ67_01086	11
GQ67_01087	28
GQ67_01088	49
GQ67_01089	204
GQ67_01090	58
GQ67_01091	18
GQ67_01092	25
GQ67_01093	76
GQ67_01094	94
GQ67_01095	5
GQ67_01096	22
GQ67_01097	105
GQ67_01098	65
GQ67_01099	1122
GQ67_01100	138
GQ67_01101	11.524
GQ67_01102	18.476
GQ67_01103	15
GQ67_01104	4
GQ67_01105	82
GQ67_01106	461
GQ67_01107	145
GQ67_01108	22
GQ67_01109	425
GQ67_01110	122
GQ67_01111	29
GQ67_01112	9.141
GQ67_01113	194.859
GQ67_01114	37
GQ67_01115	2828
GQ67_01116	29
GQ67_01117	79
GQ67_01118	8
GQ67_01119	496.184
GQ67_01120	27.816
GQ67_01122	28
GQ67_01123	7
GQ67_01124	25
GQ67_01125	98
GQ67_01126	79
GQ67_01127	124
GQ67_01128	539
GQ67_01129	34
GQ67_01130	161
GQ67_01131	59.013
GQ67_01132	118.987
GQ67_01133	81
GQ67_01134	12
GQ67_01135	130
GQ67_01136	7
GQ67_01137	12
GQ67_01138	141.426
GQ67_01139	400
GQ67_01140	35
GQ67_01141	33
GQ67_01142	31
GQ67_01143	5
GQ67_01144	18
GQ67_01145	35
GQ67_01146	21
GQ67_01147	5
GQ67_01148	2
GQ67_01149	25
GQ67_01150	42
GQ67_01151	11
GQ67_01152	89
GQ67_01153	1807
GQ67_01154	46
GQ67_01155	30
GQ67_01156	4
GQ67_01157	17
GQ67_01158	23
GQ67_01159	28
GQ67_01160	486
GQ67_01161	120
GQ67_01162	376
GQ67_01163	2345
GQ67_01164	21
GQ67_01165	42
GQ67_01166	28
GQ67_01167	74
GQ67_01168	213
GQ67_01169	5.079
GQ67_01170	63
GQ67_01171	262
GQ67_01172	11
GQ67_01173	78
GQ67_01174	32
GQ67_01175	453
GQ67_01176	7
GQ67_01177	29
GQ67_01178	5438.924
GQ67_01179	104
GQ67_01180	22
GQ67_01181	108
GQ67_01182	279
GQ67_01183	84.183
GQ67_01184	50.817
GQ67_01185	14
GQ67_01186	302
GQ67_01187	151
GQ67_01188	23
GQ67_01189	59
GQ67_01190	36
GQ67_01191	13
GQ67_01192	52
GQ67_01193	77
GQ67_01194	1812
GQ67_01195	33
GQ67_01196	568
GQ67_01197	637
GQ67_01198	49
GQ67_01199	4
GQ67_01200	45
GQ67_01201	8
GQ67_01202	39
GQ67_01203	68
GQ67_01204	6
GQ67_01205	26
GQ67_01206	18
GQ67_01207	19
GQ67_01208	370
GQ67_01209	25.134
GQ67_01210	45.866
GQ67_01211	61
GQ67_01212	54
GQ67_01213	152
GQ67_01214	350
GQ67_01215	10816
GQ67_01216	37
GQ67_01217	72.991
GQ67_01218	44.009
GQ67_01219	2298
GQ67_01220	65
GQ67_01221	64
GQ67_01222	46
GQ67_01223	7
GQ67_01224	38
GQ67_01225	15
GQ67_01226	227
GQ67_01227	66
GQ67_01228	37
GQ67_01229	344
GQ67_01230	387
GQ67_01231	5
GQ67_01232	14
GQ67_01233	4
GQ67_01234	36
GQ67_01235	514
GQ67_01236	12
GQ67_01237	207
GQ67_01238	626
GQ67_01239	10
GQ67_01240	15
GQ67_01241	15
GQ67_01242	32
GQ67_01243	54
GQ67_01244	30
GQ67_01245	114
GQ67_01246	19
GQ67_01247	121
GQ67_01248	11
GQ67_01249	34
GQ67_01250	25
GQ67_01251	21
GQ67_01252	13
GQ67_01253	48
GQ67_01254	9
GQ67_01255	4
GQ67_01256	20
GQ67_01257	102
GQ67_01258	313
GQ67_01259	24
GQ67_01260	245
GQ67_01261	17
GQ67_01262	25
GQ67_01263	13
GQ67_01264	110
GQ67_01265	88
GQ67_01266	124
GQ67_01267	27
GQ67_01268	26
GQ67_01269	67
GQ67_01270	60
GQ67_01271	26
GQ67_01272	25
GQ67_01273	30
GQ67_01274	9
GQ67_01275	18
GQ67_01276	148
GQ67_01277	6.923
GQ67_01278	44.077
GQ67_01279	76
GQ67_01280	47
GQ67_01281	98
GQ67_01282	165
GQ67_01283	1835.292
GQ67_01284	132.708
GQ67_01285	48
GQ67_01286	542
GQ67_01287	336
GQ67_01288	349
GQ67_01289	3
GQ67_01290	38
GQ67_01291	16
GQ67_01292	428
GQ67_01293	90.433
GQ67_01294	9.567
GQ67_01295	39
GQ67_01296	28
GQ67_01297	1448
GQ67_01298	476.254
GQ67_01299	38.746
GQ67_01300	40
GQ67_01301	21
GQ67_01302	101
GQ67_01303	38
GQ67_01304	692
GQ67_01305	25
GQ67_01306	27
GQ67_01307	25
GQ67_01308	76
GQ67_01309	0
GQ67_01310	44
GQ67_01311	85
GQ67_01312	11
GQ67_01313	100
GQ67_01314	28
GQ67_01315	11
GQ67_01318	11
GQ67_01319	43
GQ67_01320	29.225
GQ67_01321	21.775
GQ67_01322	94
GQ67_01323	112
GQ67_01324	57
GQ67_01325	54
GQ67_01326	10.669
GQ67_01327	9.331
GQ67_01328	159
